,disposition,period,time0bk,impact,duration,depth,prad,teq,insol,model_snr,steff,slogg,srad,ra,dec,kepmag
5723,0,21.5702917,137.2647,1.155,40.4,148.7,29.53,888.0,146.81,41.0,6070.0,3.983,1.6280000000000001,297.13824,44.378078,13.86
5724,0,0.868723418,132.08264,0.9470000000000001,1.4617,197.1,1.87,1998.0,3776.5,23.8,5761.0,4.331,1.046,293.3510100000001,40.059711,14.774
5725,1,25.30893566,171.50611,0.799,5.7704,153.7,1.77,710.0,60.2,54.2,5949.0,4.272,1.2919999999999998,295.40433,42.981422,11.472
5729,0,1.4125262019999998,131.70353,1.166,5.49,150.3,36.77,3001.0,19160.84,70.6,8468.0,4.114,1.91,299.38208,40.758141,11.521
5730,0,2.7595733410000003,131.71354,1.04,6.999,382.0,6.42,1198.0,487.37,64.4,5640.0,4.52,0.863,298.0607,40.960732,14.618
5731,0,3.79188234,134.1344,0.615,2.15,417.0,1.95,1201.0,492.81,6.6,6171.0,4.495,0.91,295.15802,41.047871,14.394
5734,0,0.5667172629999999,131.9699708,0.606,2.6079,18.5,0.43,2096.0,4581.82,11.1,5544.0,4.438,0.9570000000000001,291.58408,42.622181,13.724
5735,0,13.37935853,140.92523,0.9740000000000001,8.809,353.5,6.65,1395.0,896.56,36.2,6739.0,3.712,2.702,295.54712,39.861759,12.300999999999998
5736,0,13.26255423,136.29135,0.943,4.65,916.4,3.55,766.0,81.56,31.4,5973.0,4.506,0.935,299.34885,40.621319,15.38
5737,0,20.5696575,140.25123,1.298,4.263,401.5,28.96,650.0,42.09,22.2,6098.0,4.562,0.838,287.80338,40.890228,14.659
5738,0,4.52342256,135.46854,0.757,2.531,219.0,1.7,1195.0,482.25,15.9,6211.0,4.437,1.058,298.35513,40.049938,15.146
5739,0,0.723947772,132.06247,1.148,2.125,242.7,52.16,3192.0,24641.6,17.7,5160.0,3.424,2.897,292.52948,38.282848,13.578
5740,1,308.544422,296.0738,0.022000000000000002,18.503,586.8,3.28,330.0,2.81,56.8,6325.0,4.274,1.349,295.9755600000001,44.713451,13.215
5741,0,0.905679492,132.196318,1.272,2.1164,2299.0,35.74,1882.0,2950.42,59.3,5780.0,4.438,1.0,289.27658,41.259754,13.38
5742,0,22.735910999999998,144.077,0.665,42.435,2311.0,5.07,643.0,40.32,69.4,5780.0,4.438,1.0,289.27658,41.259754,13.38
5743,0,0.909310626,131.725419,1.264,3.4411,12127.0,48.79,2130.0,4889.6,454.0,6370.0,4.41,1.1059999999999999,292.69489,41.336418,14.970999999999998
5744,0,0.648774274,131.74545,0.078,2.6430000000000002,231.0,1.08,1659.0,1795.83,26.1,5026.0,4.557,0.7290000000000001,283.75253,40.842369,15.399
5756,0,302.38867822,309.18675,1.1340000000000001,3.1229,41320.0,40.73,238.0,0.76,294.8,5328.0,4.499,0.857,301.70923,44.281792,14.041
5758,0,5.24372504,132.7225,1.2009999999999998,17.136,234.4,20.41,1017.0,253.25,51.6,5772.0,4.452,0.867,291.91602,41.74741,14.579
5759,0,18.795269797,138.66860659999998,0.201,9.9816,28241.0,30.77,899.0,154.05,3596.6,5623.0,3.925,1.841,286.83035,42.27920200000001,13.941
5760,0,42.2625935,152.31269,0.9620000000000001,4.465,692.2,12.62,855.0,126.27,40.7,5432.0,3.55,3.5810000000000004,293.93689,42.961559,13.754
5761,0,3.549386251,134.247174,0.818,2.4342,50664.0,24.15,1142.0,402.76,108.2,5759.0,4.495,0.892,286.42599,43.264278,15.895
5763,0,0.566812588,131.79719,0.079,3.596,17.1,0.71,3089.0,21653.56,17.5,6194.0,3.971,1.7180000000000002,291.5907,42.669891,12.755999999999998
